DateId;InfoDate;Year;Quarter;Month;Week;FirstDateofWeek;ShortMonthName;Semester
20200324;24/03/2020;2020;1;3;13;23/03/2020;MAR;1
20200325;25/03/2020;2020;1;3;13;23/03/2020;MAR;1
20200326;26/03/2020;2020;1;3;13;23/03/2020;MAR;1
20200327;27/03/2020;2020;1;3;13;23/03/2020;MAR;1
20200328;28/03/2020;2020;1;3;13;23/03/2020;MAR;1
20200329;29/03/2020;2020;1;3;14;30/03/2020;MAR;1
20200330;30/03/2020;2020;1;3;14;30/03/2020;MAR;1
20200331;31/03/2020;2020;1;3;14;30/03/2020;MAR;1
20200401;01/04/2020;2020;2;4;14;30/03/2020;APR;1
20200402;02/04/2020;2020;2;4;14;30/03/2020;APR;1
20200403;03/04/2020;2020;2;4;14;30/03/2020;APR;1
20200404;04/04/2020;2020;2;4;14;30/03/2020;APR;1
20200405;05/04/2020;2020;2;4;15;06/04/2020;APR;1
20200406;06/04/2020;2020;2;4;15;06/04/2020;APR;1
20200407;07/04/2020;2020;2;4;15;06/04/2020;APR;1
20200408;08/04/2020;2020;2;4;15;06/04/2020;APR;1
20200409;09/04/2020;2020;2;4;15;06/04/2020;APR;1
20200410;10/04/2020;2020;2;4;15;06/04/2020;APR;1
20200411;11/04/2020;2020;2;4;15;06/04/2020;APR;1
20200412;12/04/2020;2020;2;4;16;13/04/2020;APR;1
20200413;13/04/2020;2020;2;4;16;13/04/2020;APR;1
20200414;14/04/2020;2020;2;4;16;13/04/2020;APR;1
20200415;15/04/2020;2020;2;4;16;13/04/2020;APR;1
20200416;16/04/2020;2020;2;4;16;13/04/2020;APR;1
20200417;17/04/2020;2020;2;4;16;13/04/2020;APR;1
20200418;18/04/2020;2020;2;4;16;13/04/2020;APR;1
20200419;19/04/2020;2020;2;4;17;20/04/2020;APR;1
20200420;20/04/2020;2020;2;4;17;20/04/2020;APR;1
20200421;21/04/2020;2020;2;4;17;20/04/2020;APR;1
20200422;22/04/2020;2020;2;4;17;20/04/2020;APR;1
20200423;23/04/2020;2020;2;4;17;20/04/2020;APR;1
20200424;24/04/2020;2020;2;4;17;20/04/2020;APR;1
20200425;25/04/2020;2020;2;4;17;20/04/2020;APR;1
20200426;26/04/2020;2020;2;4;18;27/04/2020;APR;1
20200427;27/04/2020;2020;2;4;18;27/04/2020;APR;1
20200428;28/04/2020;2020;2;4;18;27/04/2020;APR;1
20200429;29/04/2020;2020;2;4;18;27/04/2020;APR;1
20200430;30/04/2020;2020;2;4;18;27/04/2020;APR;1
20200501;01/05/2020;2020;2;5;18;27/04/2020;MAY;1
20200502;02/05/2020;2020;2;5;18;27/04/2020;MAY;1
20200503;03/05/2020;2020;2;5;19;04/05/2020;MAY;1
20200504;04/05/2020;2020;2;5;19;04/05/2020;MAY;1
20200505;05/05/2020;2020;2;5;19;04/05/2020;MAY;1
20200506;06/05/2020;2020;2;5;19;04/05/2020;MAY;1
20200507;07/05/2020;2020;2;5;19;04/05/2020;MAY;1
20200508;08/05/2020;2020;2;5;19;04/05/2020;MAY;1
20200509;09/05/2020;2020;2;5;19;04/05/2020;MAY;1
20200510;10/05/2020;2020;2;5;20;11/05/2020;MAY;1
20200511;11/05/2020;2020;2;5;20;11/05/2020;MAY;1
20200512;12/05/2020;2020;2;5;20;11/05/2020;MAY;1
20200513;13/05/2020;2020;2;5;20;11/05/2020;MAY;1
20200514;14/05/2020;2020;2;5;20;11/05/2020;MAY;1
20200515;15/05/2020;2020;2;5;20;11/05/2020;MAY;1
20200516;16/05/2020;2020;2;5;20;11/05/2020;MAY;1
20200517;17/05/2020;2020;2;5;21;18/05/2020;MAY;1
20200518;18/05/2020;2020;2;5;21;18/05/2020;MAY;1
20200519;19/05/2020;2020;2;5;21;18/05/2020;MAY;1
20200520;20/05/2020;2020;2;5;21;18/05/2020;MAY;1
20200521;21/05/2020;2020;2;5;21;18/05/2020;MAY;1
20200522;22/05/2020;2020;2;5;21;18/05/2020;MAY;1
20200523;23/05/2020;2020;2;5;21;18/05/2020;MAY;1
20200524;24/05/2020;2020;2;5;22;25/05/2020;MAY;1
20200525;25/05/2020;2020;2;5;22;25/05/2020;MAY;1
20200526;26/05/2020;2020;2;5;22;25/05/2020;MAY;1
20200527;27/05/2020;2020;2;5;22;25/05/2020;MAY;1
20200528;28/05/2020;2020;2;5;22;25/05/2020;MAY;1
20200529;29/05/2020;2020;2;5;22;25/05/2020;MAY;1
20200530;30/05/2020;2020;2;5;22;25/05/2020;MAY;1
20200531;31/05/2020;2020;2;5;23;01/06/2020;MAY;1
20200601;01/06/2020;2020;2;6;23;01/06/2020;JUN;1
20200602;02/06/2020;2020;2;6;23;01/06/2020;JUN;1
20200603;03/06/2020;2020;2;6;23;01/06/2020;JUN;1
20200604;04/06/2020;2020;2;6;23;01/06/2020;JUN;1
20200605;05/06/2020;2020;2;6;23;01/06/2020;JUN;1
20200606;06/06/2020;2020;2;6;23;01/06/2020;JUN;1
20200607;07/06/2020;2020;2;6;24;08/06/2020;JUN;1
20200608;08/06/2020;2020;2;6;24;08/06/2020;JUN;1
20200609;09/06/2020;2020;2;6;24;08/06/2020;JUN;1
20200610;10/06/2020;2020;2;6;24;08/06/2020;JUN;1
20200611;11/06/2020;2020;2;6;24;08/06/2020;JUN;1
20200612;12/06/2020;2020;2;6;24;08/06/2020;JUN;1
20200613;13/06/2020;2020;2;6;24;08/06/2020;JUN;1
20200614;14/06/2020;2020;2;6;25;15/06/2020;JUN;1
20200615;15/06/2020;2020;2;6;25;15/06/2020;JUN;1
20200616;16/06/2020;2020;2;6;25;15/06/2020;JUN;1
20200617;17/06/2020;2020;2;6;25;15/06/2020;JUN;1
20200618;18/06/2020;2020;2;6;25;15/06/2020;JUN;1
20200619;19/06/2020;2020;2;6;25;15/06/2020;JUN;1
20200620;20/06/2020;2020;2;6;25;15/06/2020;JUN;1
20200621;21/06/2020;2020;2;6;26;22/06/2020;JUN;1
20200622;22/06/2020;2020;2;6;26;22/06/2020;JUN;1
20200623;23/06/2020;2020;2;6;26;22/06/2020;JUN;1
20200624;24/06/2020;2020;2;6;26;22/06/2020;JUN;1
20200625;25/06/2020;2020;2;6;26;22/06/2020;JUN;1
20200626;26/06/2020;2020;2;6;26;22/06/2020;JUN;1
20200627;27/06/2020;2020;2;6;26;22/06/2020;JUN;1
20200628;28/06/2020;2020;2;6;27;29/06/2020;JUN;1
20200629;29/06/2020;2020;2;6;27;29/06/2020;JUN;1
20200630;30/06/2020;2020;2;6;27;29/06/2020;JUN;1
20200701;01/07/2020;2020;3;7;27;29/06/2020;JUL;2
20200702;02/07/2020;2020;3;7;27;29/06/2020;JUL;2
20200703;03/07/2020;2020;3;7;27;29/06/2020;JUL;2
20200704;04/07/2020;2020;3;7;27;29/06/2020;JUL;2
20200705;05/07/2020;2020;3;7;28;06/07/2020;JUL;2
20200706;06/07/2020;2020;3;7;28;06/07/2020;JUL;2
20200707;07/07/2020;2020;3;7;28;06/07/2020;JUL;2
20200708;08/07/2020;2020;3;7;28;06/07/2020;JUL;2
20200709;09/07/2020;2020;3;7;28;06/07/2020;JUL;2
20200710;10/07/2020;2020;3;7;28;06/07/2020;JUL;2
20200711;11/07/2020;2020;3;7;28;06/07/2020;JUL;2
20200712;12/07/2020;2020;3;7;29;13/07/2020;JUL;2
20200713;13/07/2020;2020;3;7;29;13/07/2020;JUL;2
20200714;14/07/2020;2020;3;7;29;13/07/2020;JUL;2
20200715;15/07/2020;2020;3;7;29;13/07/2020;JUL;2
20200716;16/07/2020;2020;3;7;29;13/07/2020;JUL;2
20200717;17/07/2020;2020;3;7;29;13/07/2020;JUL;2
20200718;18/07/2020;2020;3;7;29;13/07/2020;JUL;2
20200719;19/07/2020;2020;3;7;30;20/07/2020;JUL;2
20200720;20/07/2020;2020;3;7;30;20/07/2020;JUL;2
20200721;21/07/2020;2020;3;7;30;20/07/2020;JUL;2
20200722;22/07/2020;2020;3;7;30;20/07/2020;JUL;2
20200723;23/07/2020;2020;3;7;30;20/07/2020;JUL;2
20200724;24/07/2020;2020;3;7;30;20/07/2020;JUL;2
20200725;25/07/2020;2020;3;7;30;20/07/2020;JUL;2
20200726;26/07/2020;2020;3;7;31;27/07/2020;JUL;2
20200727;27/07/2020;2020;3;7;31;27/07/2020;JUL;2
20200728;28/07/2020;2020;3;7;31;27/07/2020;JUL;2
20200729;29/07/2020;2020;3;7;31;27/07/2020;JUL;2
20200730;30/07/2020;2020;3;7;31;27/07/2020;JUL;2
20200731;31/07/2020;2020;3;7;31;27/07/2020;JUL;2
20200801;01/08/2020;2020;3;8;31;27/07/2020;AUG;2
20200802;02/08/2020;2020;3;8;32;03/08/2020;AUG;2
20200803;03/08/2020;2020;3;8;32;03/08/2020;AUG;2
20200804;04/08/2020;2020;3;8;32;03/08/2020;AUG;2
20200805;05/08/2020;2020;3;8;32;03/08/2020;AUG;2
20200806;06/08/2020;2020;3;8;32;03/08/2020;AUG;2
20200807;07/08/2020;2020;3;8;32;03/08/2020;AUG;2
20200808;08/08/2020;2020;3;8;32;03/08/2020;AUG;2
20200809;09/08/2020;2020;3;8;33;10/08/2020;AUG;2
20200810;10/08/2020;2020;3;8;33;10/08/2020;AUG;2
20200811;11/08/2020;2020;3;8;33;10/08/2020;AUG;2
20200812;12/08/2020;2020;3;8;33;10/08/2020;AUG;2
20200813;13/08/2020;2020;3;8;33;10/08/2020;AUG;2
20200814;14/08/2020;2020;3;8;33;10/08/2020;AUG;2
20200815;15/08/2020;2020;3;8;33;10/08/2020;AUG;2
20200816;16/08/2020;2020;3;8;34;17/08/2020;AUG;2
20200817;17/08/2020;2020;3;8;34;17/08/2020;AUG;2
20200818;18/08/2020;2020;3;8;34;17/08/2020;AUG;2
20200819;19/08/2020;2020;3;8;34;17/08/2020;AUG;2
20200820;20/08/2020;2020;3;8;34;17/08/2020;AUG;2
20200821;21/08/2020;2020;3;8;34;17/08/2020;AUG;2
20200822;22/08/2020;2020;3;8;34;17/08/2020;AUG;2
20200823;23/08/2020;2020;3;8;35;24/08/2020;AUG;2
20200824;24/08/2020;2020;3;8;35;24/08/2020;AUG;2
20200825;25/08/2020;2020;3;8;35;24/08/2020;AUG;2
20200826;26/08/2020;2020;3;8;35;24/08/2020;AUG;2
20200827;27/08/2020;2020;3;8;35;24/08/2020;AUG;2
20200828;28/08/2020;2020;3;8;35;24/08/2020;AUG;2
20200829;29/08/2020;2020;3;8;35;24/08/2020;AUG;2
20200830;30/08/2020;2020;3;8;36;31/08/2020;AUG;2
20200831;31/08/2020;2020;3;8;36;31/08/2020;AUG;2
20200901;01/09/2020;2020;3;9;36;31/08/2020;SEP;2
20200902;02/09/2020;2020;3;9;36;31/08/2020;SEP;2
20200903;03/09/2020;2020;3;9;36;31/08/2020;SEP;2
20200904;04/09/2020;2020;3;9;36;31/08/2020;SEP;2
20200905;05/09/2020;2020;3;9;36;31/08/2020;SEP;2
20200906;06/09/2020;2020;3;9;37;07/09/2020;SEP;2
20200907;07/09/2020;2020;3;9;37;07/09/2020;SEP;2
20200908;08/09/2020;2020;3;9;37;07/09/2020;SEP;2
20200909;09/09/2020;2020;3;9;37;07/09/2020;SEP;2
20200910;10/09/2020;2020;3;9;37;07/09/2020;SEP;2
20200911;11/09/2020;2020;3;9;37;07/09/2020;SEP;2
20200912;12/09/2020;2020;3;9;37;07/09/2020;SEP;2
20200913;13/09/2020;2020;3;9;38;14/09/2020;SEP;2
20200914;14/09/2020;2020;3;9;38;14/09/2020;SEP;2
20200915;15/09/2020;2020;3;9;38;14/09/2020;SEP;2
20200916;16/09/2020;2020;3;9;38;14/09/2020;SEP;2
20200917;17/09/2020;2020;3;9;38;14/09/2020;SEP;2
20200918;18/09/2020;2020;3;9;38;14/09/2020;SEP;2
20200919;19/09/2020;2020;3;9;38;14/09/2020;SEP;2
20200920;20/09/2020;2020;3;9;39;21/09/2020;SEP;2
20200921;21/09/2020;2020;3;9;39;21/09/2020;SEP;2
20200922;22/09/2020;2020;3;9;39;21/09/2020;SEP;2
20200923;23/09/2020;2020;3;9;39;21/09/2020;SEP;2
20200924;24/09/2020;2020;3;9;39;21/09/2020;SEP;2
20200925;25/09/2020;2020;3;9;39;21/09/2020;SEP;2
20200926;26/09/2020;2020;3;9;39;21/09/2020;SEP;2
20200927;27/09/2020;2020;3;9;40;28/09/2020;SEP;2
20200928;28/09/2020;2020;3;9;40;28/09/2020;SEP;2
20200929;29/09/2020;2020;3;9;40;28/09/2020;SEP;2
20200930;30/09/2020;2020;3;9;40;28/09/2020;SEP;2
20201001;01/10/2020;2020;4;10;40;28/09/2020;OCT;2
20201002;02/10/2020;2020;4;10;40;28/09/2020;OCT;2
20201003;03/10/2020;2020;4;10;40;28/09/2020;OCT;2
20201004;04/10/2020;2020;4;10;41;05/10/2020;OCT;2
20201005;05/10/2020;2020;4;10;41;05/10/2020;OCT;2
20201006;06/10/2020;2020;4;10;41;05/10/2020;OCT;2
20201007;07/10/2020;2020;4;10;41;05/10/2020;OCT;2
20201008;08/10/2020;2020;4;10;41;05/10/2020;OCT;2
20201009;09/10/2020;2020;4;10;41;05/10/2020;OCT;2
20201010;10/10/2020;2020;4;10;41;05/10/2020;OCT;2
20201011;11/10/2020;2020;4;10;42;12/10/2020;OCT;2
20201012;12/10/2020;2020;4;10;42;12/10/2020;OCT;2
20201013;13/10/2020;2020;4;10;42;12/10/2020;OCT;2
20201014;14/10/2020;2020;4;10;42;12/10/2020;OCT;2
20201015;15/10/2020;2020;4;10;42;12/10/2020;OCT;2
20201016;16/10/2020;2020;4;10;42;12/10/2020;OCT;2
20201017;17/10/2020;2020;4;10;42;12/10/2020;OCT;2
20201018;18/10/2020;2020;4;10;43;19/10/2020;OCT;2
20201019;19/10/2020;2020;4;10;43;19/10/2020;OCT;2
20201020;20/10/2020;2020;4;10;43;19/10/2020;OCT;2
20201021;21/10/2020;2020;4;10;43;19/10/2020;OCT;2
20201022;22/10/2020;2020;4;10;43;19/10/2020;OCT;2
20201023;23/10/2020;2020;4;10;43;19/10/2020;OCT;2
20201024;24/10/2020;2020;4;10;43;19/10/2020;OCT;2
20201025;25/10/2020;2020;4;10;44;26/10/2020;OCT;2
20201026;26/10/2020;2020;4;10;44;26/10/2020;OCT;2
20201027;27/10/2020;2020;4;10;44;26/10/2020;OCT;2
20201028;28/10/2020;2020;4;10;44;26/10/2020;OCT;2
20201029;29/10/2020;2020;4;10;44;26/10/2020;OCT;2
20201030;30/10/2020;2020;4;10;44;26/10/2020;OCT;2
20201031;31/10/2020;2020;4;10;44;26/10/2020;OCT;2
20201101;01/11/2020;2020;4;11;45;02/11/2020;NOV;2
20201102;02/11/2020;2020;4;11;45;02/11/2020;NOV;2
20201103;03/11/2020;2020;4;11;45;02/11/2020;NOV;2
20201104;04/11/2020;2020;4;11;45;02/11/2020;NOV;2
20201105;05/11/2020;2020;4;11;45;02/11/2020;NOV;2
20201106;06/11/2020;2020;4;11;45;02/11/2020;NOV;2
20201107;07/11/2020;2020;4;11;45;02/11/2020;NOV;2
20201108;08/11/2020;2020;4;11;46;09/11/2020;NOV;2
20201109;09/11/2020;2020;4;11;46;09/11/2020;NOV;2
